size: 128, time: 0.127664 s, speed: 0.032854 GFlops
size: 132, time: 0.098519 s, speed: 0.046691 GFlops
size: 136, time: 0.001020 s, speed: 4.932486 GFlops
size: 140, time: 0.001296 s, speed: 4.234426 GFlops
size: 144, time: 0.100432 s, speed: 0.059463 GFlops
size: 148, time: 0.001607 s, speed: 4.034736 GFlops
size: 152, time: 0.001650 s, speed: 4.256492 GFlops
size: 156, time: 0.001686 s, speed: 4.503839 GFlops
size: 160, time: 0.001635 s, speed: 5.010169 GFlops
size: 164, time: 0.001662 s, speed: 5.307944 GFlops
size: 168, time: 0.001677 s, speed: 5.654776 GFlops
size: 172, time: 0.001730 s, speed: 5.882717 GFlops
size: 176, time: 0.001744 s, speed: 6.251922 GFlops
size: 180, time: 0.001764 s, speed: 6.612023 GFlops
size: 184, time: 0.002069 s, speed: 6.021764 GFlops
size: 188, time: 0.002095 s, speed: 6.343411 GFlops
size: 192, time: 0.002167 s, speed: 6.532471 GFlops
size: 196, time: 0.002234 s, speed: 6.740910 GFlops
size: 200, time: 0.001857 s, speed: 8.615851 GFlops
size: 204, time: 0.001436 s, speed: 11.824085 GFlops
size: 208, time: 0.001446 s, speed: 12.446553 GFlops
size: 212, time: 0.001451 s, speed: 13.133048 GFlops
size: 216, time: 0.004436 s, speed: 4.543580 GFlops
size: 220, time: 0.001697 s, speed: 12.548735 GFlops
size: 224, time: 0.002498 s, speed: 8.999057 GFlops
size: 228, time: 0.006232 s, speed: 3.803839 GFlops
size: 232, time: 0.001354 s, speed: 18.445141 GFlops
size: 236, time: 0.001654 s, speed: 15.894769 GFlops
size: 240, time: 0.006248 s, speed: 4.425098 GFlops
size: 244, time: 0.001656 s, speed: 17.543838 GFlops
size: 248, time: 0.001596 s, speed: 19.114337 GFlops
size: 252, time: 0.001632 s, speed: 19.611828 GFlops
size: 256, time: 0.091390 s, speed: 0.367157 GFlops
size: 260, time: 0.002388 s, speed: 14.720265 GFlops
size: 264, time: 0.002115 s, speed: 17.399193 GFlops
size: 268, time: 0.003639 s, speed: 10.579238 GFlops
size: 272, time: 0.002094 s, speed: 19.220015 GFlops
size: 276, time: 0.001942 s, speed: 21.653398 GFlops
size: 280, time: 0.001963 s, speed: 22.366904 GFlops
size: 284, time: 0.001835 s, speed: 24.967776 GFlops
size: 288, time: 0.001533 s, speed: 31.164229 GFlops
size: 292, time: 0.002028 s, speed: 24.553481 GFlops
size: 296, time: 0.001903 s, speed: 27.258862 GFlops
size: 300, time: 0.001562 s, speed: 34.568440 GFlops
size: 304, time: 0.001595 s, speed: 35.227720 GFlops
size: 308, time: 0.001634 s, speed: 35.765254 GFlops
size: 312, time: 0.002099 s, speed: 28.938342 GFlops
size: 316, time: 0.002220 s, speed: 28.425504 GFlops
size: 320, time: 0.002268 s, speed: 28.898014 GFlops
size: 324, time: 0.002598 s, speed: 26.182914 GFlops
size: 328, time: 0.002450 s, speed: 28.806290 GFlops
size: 332, time: 0.002053 s, speed: 35.649264 GFlops
size: 336, time: 0.002035 s, speed: 37.278062 GFlops
size: 340, time: 0.002141 s, speed: 36.715573 GFlops
size: 344, time: 0.002739 s, speed: 29.724927 GFlops
size: 348, time: 0.002669 s, speed: 31.579375 GFlops
size: 352, time: 0.002190 s, speed: 39.832607 GFlops
size: 356, time: 0.002271 s, speed: 39.735155 GFlops
size: 360, time: 0.002389 s, speed: 39.055872 GFlops
size: 364, time: 0.003012 s, speed: 32.024883 GFlops
size: 368, time: 0.002972 s, speed: 33.538302 GFlops
size: 372, time: 0.002501 s, speed: 41.166432 GFlops
size: 376, time: 0.002516 s, speed: 42.254941 GFlops
size: 380, time: 0.003218 s, speed: 34.103853 GFlops
size: 384, time: 0.003170 s, speed: 35.724205 GFlops
size: 388, time: 0.003474 s, speed: 33.627588 GFlops
size: 392, time: 0.008503 s, speed: 14.168310 GFlops
size: 396, time: 0.008681 s, speed: 14.306811 GFlops
size: 400, time: 0.007856 s, speed: 16.293503 GFlops
size: 404, time: 0.015523 s, speed: 8.495709 GFlops
size: 408, time: 0.006389 s, speed: 21.260232 GFlops
size: 412, time: 0.003510 s, speed: 39.848753 GFlops
size: 416, time: 0.003219 s, speed: 44.727208 GFlops
size: 420, time: 0.002971 s, speed: 49.875226 GFlops
size: 424, time: 0.003367 s, speed: 45.278420 GFlops
size: 428, time: 0.003790 s, speed: 41.371954 GFlops
size: 432, time: 0.003595 s, speed: 44.850635 GFlops
size: 436, time: 0.005031 s, speed: 32.947749 GFlops
size: 440, time: 0.004446 s, speed: 38.319133 GFlops
size: 444, time: 0.008629 s, speed: 20.286832 GFlops
size: 448, time: 0.006994 s, speed: 25.712118 GFlops
size: 452, time: 0.012481 s, speed: 14.797788 GFlops
size: 456, time: 0.014245 s, speed: 13.312544 GFlops
size: 460, time: 0.005760 s, speed: 33.797489 GFlops
size: 464, time: 0.004950 s, speed: 40.362184 GFlops
size: 468, time: 0.004330 s, speed: 47.346480 GFlops
size: 472, time: 0.012134 s, speed: 17.332366 GFlops
size: 476, time: 0.007576 s, speed: 28.471578 GFlops
size: 480, time: 0.016684 s, speed: 13.257208 GFlops
size: 484, time: 0.004603 s, speed: 49.264455 GFlops
size: 488, time: 0.006332 s, speed: 36.707432 GFlops
size: 492, time: 0.010920 s, speed: 21.812265 GFlops
size: 496, time: 0.005460 s, speed: 44.697217 GFlops
size: 500, time: 0.004775 s, speed: 52.355502 GFlops
size: 504, time: 0.010890 s, speed: 23.512210 GFlops
size: 508, time: 0.005634 s, speed: 46.537059 GFlops
size: 512, time: 0.007460 s, speed: 35.983889 GFlops
size: 516, time: 0.018763 s, speed: 14.644526 GFlops
size: 520, time: 0.013444 s, speed: 20.917296 GFlops
size: 524, time: 0.007034 s, speed: 40.908879 GFlops
size: 528, time: 0.009243 s, speed: 31.850648 GFlops
size: 532, time: 0.016851 s, speed: 17.870405 GFlops
size: 536, time: 0.018664 s, speed: 16.501459 GFlops
size: 540, time: 0.006499 s, speed: 48.457529 GFlops
size: 544, time: 0.007210 s, speed: 44.657093 GFlops
size: 548, time: 0.016528 s, speed: 19.913804 GFlops
size: 552, time: 0.020004 s, speed: 16.816269 GFlops
size: 556, time: 0.008095 s, speed: 42.465488 GFlops
