size: 128, time: 0.135498 s, speed: 0.030955 GFlops
size: 132, time: 0.176686 s, speed: 0.026035 GFlops
size: 136, time: 0.101224 s, speed: 0.049701 GFlops
size: 140, time: 0.001238 s, speed: 4.433425 GFlops
size: 144, time: 0.102891 s, speed: 0.058042 GFlops
size: 148, time: 0.001283 s, speed: 5.053730 GFlops
size: 152, time: 0.001294 s, speed: 5.428263 GFlops
size: 156, time: 0.001343 s, speed: 5.653585 GFlops
size: 160, time: 0.001330 s, speed: 6.158763 GFlops
size: 164, time: 0.001406 s, speed: 6.274662 GFlops
size: 168, time: 0.001440 s, speed: 6.586470 GFlops
size: 172, time: 0.001464 s, speed: 6.950822 GFlops
size: 176, time: 0.001526 s, speed: 7.145752 GFlops
size: 180, time: 0.001587 s, speed: 7.349010 GFlops
size: 184, time: 0.002199 s, speed: 5.665929 GFlops
size: 188, time: 0.001456 s, speed: 9.127157 GFlops
size: 192, time: 0.001447 s, speed: 9.783099 GFlops
size: 196, time: 0.001401 s, speed: 10.749205 GFlops
size: 200, time: 0.001419 s, speed: 11.275011 GFlops
size: 204, time: 0.001452 s, speed: 11.694001 GFlops
size: 208, time: 0.001807 s, speed: 9.960199 GFlops
size: 212, time: 0.001921 s, speed: 9.920284 GFlops
size: 216, time: 0.001940 s, speed: 10.389313 GFlops
size: 220, time: 0.001941 s, speed: 10.970511 GFlops
size: 224, time: 0.001462 s, speed: 15.375591 GFlops
size: 228, time: 0.001518 s, speed: 15.615633 GFlops
size: 232, time: 0.001512 s, speed: 16.519470 GFlops
size: 236, time: 0.001547 s, speed: 16.992142 GFlops
size: 240, time: 0.001531 s, speed: 18.060133 GFlops
size: 244, time: 0.001612 s, speed: 18.023886 GFlops
size: 248, time: 0.001582 s, speed: 19.284306 GFlops
size: 252, time: 0.001644 s, speed: 19.466787 GFlops
size: 256, time: 0.001617 s, speed: 20.748561 GFlops
size: 260, time: 0.001759 s, speed: 19.983488 GFlops
size: 264, time: 0.001752 s, speed: 21.002618 GFlops
size: 268, time: 0.001835 s, speed: 20.978421 GFlops
size: 272, time: 0.002588 s, speed: 15.551303 GFlops
size: 276, time: 0.002567 s, speed: 16.380322 GFlops
size: 280, time: 0.002572 s, speed: 17.069589 GFlops
size: 284, time: 0.001903 s, speed: 24.073165 GFlops
size: 288, time: 0.001874 s, speed: 25.494401 GFlops
size: 292, time: 0.001933 s, speed: 25.761923 GFlops
size: 296, time: 0.001950 s, speed: 26.598970 GFlops
size: 300, time: 0.002470 s, speed: 21.862202 GFlops
size: 304, time: 0.002792 s, speed: 20.124109 GFlops
size: 308, time: 0.002452 s, speed: 23.833070 GFlops
size: 312, time: 0.002060 s, speed: 29.484222 GFlops
size: 316, time: 0.002224 s, speed: 28.376747 GFlops
size: 320, time: 0.002214 s, speed: 29.601325 GFlops
size: 324, time: 0.002268 s, speed: 29.995292 GFlops
size: 328, time: 0.002566 s, speed: 27.505430 GFlops
size: 332, time: 0.002875 s, speed: 25.456158 GFlops
size: 336, time: 0.002310 s, speed: 32.841938 GFlops
size: 340, time: 0.002395 s, speed: 32.822882 GFlops
size: 344, time: 0.002734 s, speed: 29.779364 GFlops
size: 348, time: 0.003371 s, speed: 25.003968 GFlops
size: 352, time: 0.003396 s, speed: 25.685376 GFlops
size: 356, time: 0.002577 s, speed: 35.015020 GFlops
size: 360, time: 0.002510 s, speed: 37.175047 GFlops
size: 364, time: 0.002741 s, speed: 35.192271 GFlops
size: 368, time: 0.002880 s, speed: 34.607197 GFlops
size: 372, time: 0.002676 s, speed: 38.474330 GFlops
size: 376, time: 0.002921 s, speed: 36.395396 GFlops
size: 380, time: 0.003217 s, speed: 34.113963 GFlops
size: 384, time: 0.003121 s, speed: 36.286404 GFlops
size: 388, time: 0.002992 s, speed: 39.045947 GFlops
size: 392, time: 0.003484 s, speed: 34.578704 GFlops
size: 396, time: 0.002000 s, speed: 62.103637 GFlops
size: 400, time: 0.001967 s, speed: 65.067375 GFlops
size: 404, time: 0.001998 s, speed: 66.006997 GFlops
size: 408, time: 0.002012 s, speed: 67.511756 GFlops
size: 412, time: 0.008786 s, speed: 15.919604 GFlops
size: 416, time: 0.004059 s, speed: 35.471763 GFlops
size: 420, time: 0.004025 s, speed: 36.814074 GFlops
